codcom;commune;RP2020;Département;Nom_CPTS;FINESS;Nom_CPTS_Miniscule;Statut
09034;Balacet;38;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09035;Balaguères;198;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09037;Barjac;42;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09038;La Bastide-de-Besplas;381;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09039;La Bastide-de-Bousignac;339;09-Ariège;;;;
09040;La Bastide-de-Lordat;289;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09041;La Bastide-du-Salat;205;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09042;La Bastide-de-Sérou;992;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09043;La Bastide-sur-l'Hers;672;09-Ariège;;;;
09044;Baulou;167;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09045;Bédeilhac-et-Aynat;197;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09046;Bédeille;66;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09047;Bélesta;1072;09-Ariège;;;;
09048;Belloc;82;09-Ariège;;;;
09049;Bénac;177;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09050;Benagues;529;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09051;Bénaix;151;09-Ariège;;;;
09052;Besset;166;09-Ariège;;;;
09053;Bestiac;19;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09054;Betchat;354;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09055;Bethmale;92;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09056;Bézac;454;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09057;Biert;315;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09058;Bompas;193;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09059;Bonac-Irazein;122;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09060;Bonnac;761;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09061;Les Bordes-sur-Arize;499;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09062;Bordes-Uchentein;212;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09063;Le Bosc;115;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09064;Bouan;40;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09065;Boussenac;223;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09066;Brassac;622;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09067;Brie;211;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09068;Burret;44;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09069;Buzan;25;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09070;Les Cabannes;332;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09071;Cadarcet;220;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09072;Calzan;37;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09073;Camarade;200;09-Ariège;;;;
09074;Camon;149;09-Ariège;;;;
09075;Campagne-sur-Arize;283;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09076;Canté;202;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09077;Capoulet-et-Junac;190;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09078;Carcanières;73;09-Ariège;;;;
09079;Carla-Bayle;797;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09080;Carla-de-Roquefort;172;09-Ariège;;;;
09081;Le Carlaret;275;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09082;Castelnau-Durban;453;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09083;Castéras;21;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09084;Castex;97;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09085;Castillon-en-Couserans;412;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09086;Caumont;334;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09087;Caussou;45;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09088;Caychax;15;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09089;Cazals-des-Baylès;56;09-Ariège;;;;
09090;Cazaux;38;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09091;Cazavet;200;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09092;Cazenave-Serres-et-Allens;61;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09093;Celles;151;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09094;Cérizols;138;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09095;Cescau;154;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09096;Château-Verdun;41;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09097;Clermont;116;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09098;Contrazy;67;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09099;Cos;379;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09100;Couflens;95;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09101;Coussa;287;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09102;Coutens;174;09-Ariège;;;;
09103;Crampagna;895;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09104;Dalou;775;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09105;Daumazan-sur-Arize;741;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09106;Dreuilhe;359;09-Ariège;;;;
09107;Dun;625;09-Ariège;;;;
09108;Durban-sur-Arize;174;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09109;Durfort;184;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09110;Encourtiech;93;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09111;Engomer;307;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09113;Ercé;569;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09114;Erp;132;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09115;Esclagne;126;09-Ariège;;;;
09116;Escosse;370;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09117;Esplas;106;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09118;Esplas-de-Sérou;179;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09119;Eycheil;540;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09120;Fabas;348;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09121;Ferrières-sur-Ariège;749;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09122;Foix;9515;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09123;Fornex;114;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09124;Le Fossat;1041;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09125;Fougax-et-Barrineuf;429;09-Ariège;;;;
09126;Freychenet;82;09-Ariège;;;;
09127;Gabre;125;09-Ariège;;;;
09128;Gajan;316;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09129;Galey;114;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09130;Ganac;730;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09131;Garanou;147;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09132;Gaudiès;245;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09133;Génat;23;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09134;Gestiès;33;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09136;Gourbit;72;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09137;Gudas;201;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09138;L'Herm;194;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09139;L'Hospitalet-près-l'Andorre;103;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09140;Ignaux;122;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09141;Illartein;73;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09142;Ilhat;125;09-Ariège;;;;
09143;Illier-et-Laramade;37;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09145;Les Issards;247;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09146;Justiniac;58;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09147;Labatut;177;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09148;Lacave;121;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09149;Lacourt;192;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09150;Lagarde;200;09-Ariège;;;;
09151;Lanoux;55;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09152;Lapège;20;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09153;Lapenne;119;09-Ariège;;;;
09154;Larbont;61;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09155;Larcat;48;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09156;Larnat;20;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09157;Laroque-d'Olmes;2391;09-Ariège;;;;
09158;Lasserre;254;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09159;Lassur;91;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09160;Lavelanet;6052;09-Ariège;;;;
09161;Léran;618;09-Ariège;;;;
09162;Lercoul;15;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09163;Lescousse;81;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09164;Lescure;489;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09165;Lesparrou;233;09-Ariège;;;;
09166;Leychert;105;09-Ariège;;;;
09167;Lézat-sur-Lèze;2360;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09168;Lieurac;183;09-Ariège;;;;
09169;Limbrassac;121;09-Ariège;;;;
09170;Lissac;250;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09171;Lordat;70;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09172;Loubaut;24;09-Ariège;;;;
09173;Loubens;283;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09174;Loubières;358;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09175;Ludiès;93;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09176;Luzenac;513;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09177;Madière;246;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09178;Malegoude;43;09-Ariège;;;;
09179;Malléon;79;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09180;Manses;119;09-Ariège;;;;
09181;Le Mas-d'Azil;1181;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09182;Massat;734;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09183;Mauvezin-de-Prat;102;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09184;Mauvezin-de-Sainte-Croix;49;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09185;Mazères;3872;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09186;Méras;101;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09187;Mercenac;351;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09188;Mercus-Garrabet;1203;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09189;Mérens-les-Vals;168;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09190;Mérigon;112;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09192;Miglos;112;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09193;Mijanès;60;09-Ariège;;;;
09194;Mirepoix;3114;09-Ariège;;;;
09195;Monesple;29;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09196;Montagagne;79;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09197;Montaillou;17;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09198;Montardit;216;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09199;Montaut;695;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09200;Montbel;97;09-Ariège;;;;
09201;Montégut-en-Couserans;78;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09202;Montégut-Plantaurel;335;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09203;Montels;154;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09204;Montesquieu-Avantès;253;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09205;Montfa;85;09-Ariège;;;;
09206;Montferrier;553;09-Ariège;;;;
09207;Montgailhard;1476;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09208;Montgauch;120;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09209;Montjoie-en-Couserans;1010;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09210;Montoulieu;411;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09211;Montségur;117;09-Ariège;;;;
09212;Montseron;107;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09213;Moulin-Neuf;240;09-Ariège;;;;
09214;Moulis;768;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09215;Nalzen;119;09-Ariège;;;;
09216;Nescus;63;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09217;Niaux;154;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09218;Orgeix;92;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09219;Orgibet;185;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09220;Orlu;165;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09221;Ornolac-Ussat-les-Bains;248;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09222;Orus;27;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09223;Oust;562;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09224;Pailhès;486;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09225;Pamiers;15938;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09226;Pech;37;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09227;Péreille;194;09-Ariège;;;;
09228;Perles-et-Castelet;226;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09229;Le Peyrat;476;09-Ariège;;;;
09230;Le Pla;62;09-Ariège;;;;
